pw,amp,P,delP
1.14E-05,1.4,17.46831227,40.19081227
1.71E-05,1.4,18.13735278,40.85985278
2.57E-05,1.4,19.10051563,41.82301563
3.82E-05,1.4,19.57379393,42.29629393
5.73E-05,1.4,20.04675288,42.76925288
8.59E-05,1.4,20.32363026,43.04613026
1.29E-04,1.4,20.40442609,43.12692609
1.92E-04,1.4,20.97574517,43.69824517
2.87E-04,1.4,21.05654099,43.77904099
4.31E-04,1.4,21.13733681,43.85983681
6.46E-04,1.4,21.51225498,44.23475498
9.76E-04,1.4,21.69077223,44.41327223
2.04E-07,1.5,-21.18370683,1.538793172
3.03E-07,1.5,-18.94569447,3.776805531
4.57E-07,1.5,-15.04162753,7.680872467
6.78E-07,1.5,-9.078065491,13.64443451
1.01E-06,1.5,-1.644211083,21.07828892
1.52E-06,1.5,5.691602544,28.41410254
2.27E-06,1.5,12.04700836,34.76950836
3.42E-06,1.5,15.9510753,38.6735753
5.09E-06,1.5,17.69888375,40.42138375
7.63E-06,1.5,18.85812816,41.58062816
1.13E-05,1.5,19.62552881,42.34802881
1.71E-05,1.5,19.90208684,42.62458684
2.57E-05,1.5,20.47308657,43.19558657
3.85E-05,1.5,20.65192317,43.37442317
5.73E-05,1.5,21.02716069,43.74966069
8.59E-05,1.5,21.00991573,43.73241573
1.29E-04,1.5,21.3848339,44.1073339
1.92E-04,1.5,21.36790829,44.09040829
2.89E-04,1.5,21.44838476,44.17088476
4.31E-04,1.5,21.7255815,44.4480815
6.46E-04,1.5,21.9044181,44.6269181
9.75E-04,1.5,22.18097614,44.90347614
2.04E-07,1.6,-20.49742136,2.22507864
3.05E-07,1.6,-17.37736132,5.345138678
4.56E-07,1.6,-12.29648566,10.42601434
6.77E-07,1.6,-5.254475027,17.46802497
1.01E-06,1.6,3.061746411,25.78424641
1.51E-06,1.6,10.98580472,33.70830472
2.26E-06,1.6,16.45884351,39.18134351
3.39E-06,1.6,18.99065886,41.71315886
5.08E-06,1.6,19.65969937,42.38219937
7.62E-06,1.6,20.32873988,43.05123988
1.13E-05,1.6,20.7039774,43.4264774
1.71E-05,1.6,20.88249465,43.60499465
2.57E-05,1.6,21.25741282,43.97991282
3.85E-05,1.6,21.33820864,44.06070864
5.73E-05,1.6,21.61540538,44.33790538
8.59E-05,1.6,21.59816042,44.32066042
1.30E-04,1.6,21.97275923,44.69525923
1.92E-04,1.6,21.95615298,44.67865298
2.89E-04,1.6,21.93858867,44.66108867
4.31E-04,1.6,22.11774462,44.84024462
6.41E-04,1.6,22.29690058,45.01940058
9.75E-04,1.6,22.67118004,45.39368004
2.04E-07,1.7,-19.71309511,3.009404889
3.03E-07,1.7,-15.80838947,6.914110527
4.56E-07,1.7,-9.551343789,13.17115621
6.71E-07,1.7,-1.528605993,21.19389401
1.01E-06,1.7,7.669663125,30.39216312
1.51E-06,1.7,15.39763988,38.12013988
2.26E-06,1.7,19.20398538,41.92648538
3.39E-06,1.7,20.26518902,42.98768902
5.08E-06,1.7,21.03227031,43.75477031
7.62E-06,1.7,21.11306613,43.83556613
1.13E-05,1.7,21.48830365,44.21080365
1.71E-05,1.7,21.6668209,44.3893209
2.57E-05,1.7,21.8456575,44.5681575
3.82E-05,1.7,21.92677268,44.64927268
5.77E-05,1.7,22.10528993,44.82778993
8.59E-05,1.7,22.1864051,44.9089051
1.30E-04,1.7,22.36492236,45.08742236
1.92E-04,1.7,22.44635688,45.16885688
2.89E-04,1.7,22.42879257,45.15129257
4.34E-04,1.7,22.5095884,45.2320884
6.41E-04,1.7,22.6890637,45.4115637
9.82E-04,1.7,23.06302382,45.78552382
2.04E-07,1.8,-19.02680964,3.695690357
3.02E-07,1.8,-14.04365541,8.678844588
4.55E-07,1.8,-7.00228348,15.72021652
6.81E-07,1.8,2.098264207,24.82076421
1.01E-06,1.8,11.68933515,34.41183515
1.51E-06,1.8,18.33886331,41.06136331
2.26E-06,1.8,20.57655632,43.29905632
3.39E-06,1.8,21.14755605,43.87005605
5.08E-06,1.8,21.62051499,44.34301499
7.62E-06,1.8,21.7993516,44.5218516
1.13E-05,1.8,22.07654833,44.79904833
1.71E-05,1.8,22.25506559,44.97756559
2.55E-05,1.8,22.1400992,44.8625992
3.82E-05,1.8,22.12285424,44.84535424
5.73E-05,1.8,22.39973163,45.12223163
8.59E-05,1.8,22.57856823,45.30106823
1.30E-04,1.8,22.75708548,45.47958548
1.92E-04,1.8,22.74047923,45.46297923
2.89E-04,1.8,22.62487414,45.34737414
4.31E-04,1.8,22.90207087,45.62457087
6.41E-04,1.8,22.88514526,45.60764526
9.75E-04,1.8,23.06334317,45.78584317
