t,V,Q
1.925E-5,2.03683246602096,2.89722204276259E-5
1.932E-5,2.0328785973813,2.89583118502899E-5
1.939E-5,2.0319856087278,2.89441298185167E-5
1.946E-5,2.02738565476985,2.89280684196247E-5
1.953E-5,2.02248891918653,2.89106629606707E-5
1.96E-5,2.01884550126643,2.88933478736576E-5
1.967E-5,2.01620239289851,2.88775691913453E-5
1.974E-5,2.01018723576063,2.88631137231732E-5
1.981E-5,2.00764809343464,2.88492723523419E-5
1.988E-5,2.00492524223019,2.88352015585919E-5
1.995E-5,2.00021808796528,2.88213207952713E-5
2.002E-5,1.9998641008112,2.88081027818009E-5
2.009E-5,1.99442572412746,2.87932510458778E-5
2.016E-5,1.98934516041273,2.87746173890592E-5
2.023E-5,1.98669893560665,2.87540649630828E-5
2.03E-5,1.98327567566385,2.87362446898101E-5
2.037E-5,1.97971991657479,2.87224890529516E-5
2.044E-5,1.97400705720221,2.87099685714405E-5
2.051E-5,1.97424651832053,2.86969730234058E-5
2.058E-5,1.96843209255686,2.86834583932451E-5
2.065E-5,1.96598648147275,2.86687155662809E-5
2.072E-5,1.96284309982521,2.86515024381715E-5
2.079E-5,1.95939190422151,2.86331700275227E-5
2.086E-5,1.95478068086751,2.86153682986955E-5
2.093E-5,1.9522389003957,2.85988666058392E-5
2.1E-5,1.94910115274043,2.85839522971354E-5
2.107E-5,1.94575164267527,2.85708872358143E-5
2.114E-5,1.93974487687384,2.85573957827619E-5
2.121E-5,1.93790650229285,2.85412903565956E-5
2.128E-5,1.93293865502138,2.85235836355555E-5
2.135E-5,1.93080637404429,2.8506122553876E-5
2.142E-5,1.92706414857613,2.84891712836915E-5
2.149E-5,1.92345587296378,2.84729036464167E-5
2.156E-5,1.91849617863928,2.84581121584543E-5
2.163E-5,1.91625405777969,2.84442939594258E-5
2.17E-5,1.91518827339833,2.84294213521151E-5
2.177E-5,1.9087277636988,2.84133506857753E-5
2.184E-5,1.90641165459029,2.83967099451247E-5
2.191E-5,1.90327918469639,2.83792789831813E-5
2.198E-5,1.90022645760992,2.83619615713482E-5
2.205E-5,1.89491194757075,2.83461944759984E-5
2.212E-5,1.89228790531134,2.83309603671295E-5
2.219E-5,1.88965295125464,2.83159023747853E-5
2.226E-5,1.88373120606203,2.83018478038439E-5
2.233E-5,1.88376177997062,2.82873575620515E-5
2.24E-5,1.8776394196736,2.82713170154477E-5
2.247E-5,1.87467159260787,2.82546785964339E-5
2.254E-5,1.87051722952829,2.82381490906234E-5
2.261E-5,1.86817594349642,2.82214063889471E-5
2.268E-5,1.86460651387252,2.82045640425766E-5
2.275E-5,1.86096873272409,2.81885767949392E-5
2.282E-5,1.85492311951903,2.81728884983618E-5
2.289E-5,1.85372243616231,2.81561110400424E-5
2.296E-5,1.85102464408347,2.81393567439761E-5
2.303E-5,1.84857903291205,2.81228341839766E-5
2.31E-5,1.84337160536753,2.81055978861864E-5
2.317E-5,1.84041504765783,2.80874624560223E-5
2.324E-5,1.83646369659774,2.80709259959121E-5
2.331E-5,1.83289714634676,2.80555389465658E-5
